property_type,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,state,lat,lon
house,392514.3,200.0,285.0,Distrito Federal,19.355751,-99.299347
apartment,37934.26,60.0,60.0,Distrito Federal,19.4900536,-99.0935504
house,2700000.0,897.0,598.0,Quintana Roo,21.129547,-86.817017
apartment,177068.56,0.0,102.0,Distrito Federal,19.39912,-99.141464
apartment,574418.86,0.0,240.0,Distrito Federal,19.390415,-99.254997
apartment,685086.71,255.0,255.0,Distrito Federal,19.3619852,-99.2663861
apartment,652936.65,393.0,357.0,Distrito Federal,19.4425711213,-99.2028173804
apartment,237089.17,109.0,109.0,Distrito Federal,19.3668017,-99.1724994
house,737610.77,152.0,360.0,Distrito Federal,19.41498,-99.177444
house,38470.25,100.0,90.0,Quintana Roo,21.129547,-86.817017
apartment,81683.41,0.0,60.0,Distrito Federal,19.3778105,-99.1975082
apartment,309553.79,117.0,117.0,Distrito Federal,19.394358,-99.177444
apartment,420000.0,0.0,180.0,Quintana Roo,21.129547,-86.817017
house,197621.16,1850.0,300.0,Distrito Federal,19.199665,-99.153915
apartment,65858.1,70.0,70.0,Distrito Federal,19.3437444,-99.1561883
apartment,184446.42,0.0,250.0,Quintana Roo,21.136350683,-86.8287330866
house,1990000.0,580.0,600.0,Distrito Federal,19.401079,-99.24807
house,3450000.0,1000.0,1400.0,Quintana Roo,21.1717664129,-86.8078365331
apartment,475000.0,259.0,259.0,Quintana Roo,21.129547,-86.817017
store,20080645.0,0.0,3150.0,Quintana Roo,21.162939,-86.823855
apartment,139000.0,52.0,52.0,Quintana Roo,21.2013833711,-86.8053060941
house,79029.72,4900.0,180.0,Quintana Roo,21.129547,-86.817017
house,990000.0,495.0,157.0,Quintana Roo,20.8501512377,-86.8750129268
apartment,205526.01,0.0,98.0,Distrito Federal,19.3756773,-99.1546074
house,736557.04,115.0,393.0,Distrito Federal,19.357464,-99.207909
apartment,389972.43,228.0,228.0,Distrito Federal,19.432657,-99.177444
apartment,330000.0,0.0,147.0,Quintana Roo,21.1283087,-86.7643776
apartment,816640.49,0.0,270.0,Distrito Federal,19.3605334,-99.2267067
apartment,41368.69,50.0,50.0,Distrito Federal,19.3579916,-99.0648692
house,843183.65,800.0,800.0,Distrito Federal,19.401079,-99.24807
house,250000.0,350.0,207.0,Quintana Roo,20.63719,-87.089897
apartment,260859.94,0.0,160.0,Quintana Roo,21.1902642,-86.8198375
house,100104.31,159.0,160.0,Quintana Roo,21.1560588,-86.8486808
apartment,28825.02,32.0,77.0,Distrito Federal,19.4959960885,-99.2017929554
house,205000.0,180.0,160.0,Quintana Roo,20.6180275188,-87.0856317133
apartment,285000.0,0.0,242.0,Quintana Roo,20.6153928204,-87.0886230469
apartment,26349.48,44.0,44.0,Distrito Federal,19.4620417,-99.1321904
house,416321.92,289.0,450.0,Quintana Roo,21.110295031,-86.8460386992
apartment,146219.53,0.0,86.0,Distrito Federal,19.3803931,-99.1476908
house,90115.25,0.0,0.0,Distrito Federal,19.3797119713,-99.1879928112
apartment,189610.92,0.0,108.0,Distrito Federal,19.4482164,-99.1589625
house,216014.58,300.0,310.0,Quintana Roo,21.129547,-86.817017
apartment,233500.0,80.0,80.0,Quintana Roo,20.626583,-87.078659
house,166001.78,206.0,170.0,Distrito Federal,19.249130897,-99.1566525819
